post_text,platform,likes,comments,shares,saves,impressions,date
"Most AI tools are useless. Here's why they can't actually think.",twitter,245,89,156,0,12450,2024-01-15
"Just launched my new course. Link in bio.",instagram,312,45,23,189,8900,2024-01-18
"The biggest mistake I see founders make",linkedin,189,67,34,0,5600,2024-01-20
"I tried every productivity system. This is what actually worked.",linkedin,423,112,78,0,11200,2024-01-22
"Stop chasing trends. Do this instead.",twitter,178,56,98,0,8900,2024-01-25
"3 lessons from losing $50K",linkedin,567,234,145,0,15000,2024-01-28
"My morning routine changed everything",instagram,234,34,12,145,6700,2024-02-01
"95% of advice is wrong. Here's the 5% that matters.",twitter,312,145,189,0,15600,2024-02-03
"The real reason you're stuck",linkedin,289,156,67,0,9800,2024-02-05
"Hot take: Working harder is holding you back",twitter,189,78,112,0,11200,2024-02-08
"I turned down $1M. Here's why.",linkedin,892,345,234,0,22000,2024-02-10
"Stop asking for permission",instagram,345,67,45,234,12300,2024-02-12
